,total,low,high,p_low,p_high,p_low_total,p_high_total
opi3-del vs. wt,1322,300,1022,0.22692889561270801,0.773071104387292,0.07392804337111877,0.25184820108427797
ram1-del vs. wt,1184,263,921,0.22212837837837837,0.7778716216216216,0.06481025135534746,0.22695909314933466
cho2-del vs. wt,884,179,705,0.20248868778280543,0.7975113122171946,0.044110399211434205,0.17373090192212912
aco1-del vs. wt,690,150,540,0.21739130434782608,0.782608695652174,0.03696402168555939,0.1330704780680138
pfk2-del vs. wt,490,59,431,0.12040816326530612,0.8795918367346939,0.014539181862986693,0.10620995564317398
ipk1-del vs. wt,432,120,312,0.2777777777777778,0.7222222222222222,0.02957121734844751,0.07688516510596353
vps15-del vs. wt,536,81,455,0.15111940298507462,0.8488805970149254,0.01996057171020207,0.11212419911286348
sis2-del vs. wt,422,93,329,0.22037914691943128,0.7796208530805687,0.02291769344504682,0.0810744208969936
arg82-del vs. wt,477,257,220,0.5387840670859538,0.4612159329140461,0.06333169048792509,0.05421389847215377
plc1-del vs. wt,336,79,257,0.23511904761904762,0.7648809523809523,0.019467718087727945,0.06333169048792509
rnr4-del vs. wt,425,49,376,0.11529411764705882,0.8847058823529412,0.012074913750616067,0.09265648102513553
pfk27-del vs. wt,341,57,284,0.16715542521994134,0.8328445747800587,0.014046328240512568,0.06998521439132578
